Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.21,-.18,-.27,-.14,-.29,-.23,-.08,-.16,-.15,-.18,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.10,-.14,.01,-.03,-.04,-.28,-.06,-.02,-.09,-.20,-.26,-.16,-.11,-.12,-.15,-.02,-.12,-.18
1882,.09,.08,.01,-.20,-.17,-.25,-.11,.03,.00,-.23,-.21,-.25,-.10,-.09,.00,-.12,-.11,-.15
1883,-.34,-.42,-.18,-.24,-.26,-.13,-.09,-.14,-.19,-.12,-.21,-.19,-.21,-.21,-.34,-.23,-.12,-.17
1884,-.18,-.12,-.35,-.36,-.32,-.38,-.34,-.26,-.23,-.22,-.30,-.29,-.28,-.27,-.16,-.34,-.33,-.25
1885,-.65,-.29,-.23,-.45,-.42,-.50,-.28,-.27,-.18,-.19,-.22,-.07,-.31,-.33,-.41,-.37,-.35,-.20
1886,-.42,-.46,-.41,-.29,-.27,-.39,-.16,-.31,-.19,-.24,-.25,-.25,-.30,-.29,-.32,-.32,-.29,-.23
1887,-.66,-.48,-.31,-.37,-.33,-.20,-.18,-.27,-.19,-.32,-.25,-.38,-.33,-.32,-.46,-.34,-.22,-.25
1888,-.43,-.42,-.47,-.28,-.22,-.20,-.09,-.11,-.06,.01,.01,-.12,-.20,-.22,-.41,-.32,-.13,-.02
1889,-.21,.14,.04,.04,-.03,-.11,-.05,-.17,-.18,-.22,-.32,-.31,-.11,-.10,-.06,.02,-.11,-.24
1890,-.48,-.48,-.41,-.37,-.48,-.27,-.30,-.36,-.35,-.22,-.37,-.30,-.37,-.37,-.42,-.42,-.31,-.32
1891,-.46,-.49,-.14,-.25,-.17,-.21,-.22,-.20,-.13,-.24,-.37,-.03,-.24,-.27,-.42,-.19,-.21,-.25
1892,-.25,-.15,-.36,-.35,-.25,-.20,-.28,-.19,-.25,-.17,-.49,-.29,-.27,-.25,-.14,-.32,-.22,-.30
1893,-.69,-.51,-.24,-.32,-.35,-.24,-.14,-.23,-.18,-.16,-.17,-.38,-.30,-.29,-.50,-.30,-.21,-.17
1894,-.55,-.31,-.20,-.41,-.30,-.43,-.32,-.28,-.23,-.17,-.25,-.22,-.31,-.32,-.41,-.30,-.34,-.22
1895,-.44,-.42,-.29,-.22,-.23,-.25,-.16,-.16,-.01,-.10,-.15,-.12,-.21,-.22,-.36,-.25,-.19,-.09
1896,-.23,-.15,-.29,-.33,-.19,-.13,-.06,-.09,-.05,.04,-.16,-.12,-.15,-.15,-.16,-.27,-.09,-.05
1897,-.22,-.19,-.12,-.01,.00,-.12,-.04,-.03,-.04,-.10,-.18,-.26,-.11,-.10,-.18,-.04,-.06,-.10
1898,-.07,-.34,-.55,-.33,-.35,-.20,-.22,-.22,-.18,-.31,-.35,-.22,-.28,-.28,-.22,-.41,-.21,-.28
1899,-.18,-.39,-.35,-.21,-.20,-.26,-.13,-.04,.00,.00,.12,-.27,-.16,-.16,-.26,-.25,-.14,.04
1900,-.40,-.08,.02,-.14,-.05,-.14,-.09,-.03,.02,.08,-.13,-.14,-.09,-.10,-.25,-.06,-.09,-.01
1901,-.30,-.05,.05,-.05,-.18,-.10,-.09,-.13,-.16,-.29,-.17,-.30,-.15,-.13,-.16,-.06,-.10,-.21
